location_spot,tag_id,item_id,sensor_id
I8,RFID5100,G6800,BUT411
B3,RFID1860,G5958,BUT541
C6,RFID4226,G9949,BUT356
H2,RFID1853,G5813,BUT586
B5,RFID7330,G5394,BUT369
D9,RFID1268,G2217,BUT396
F2,RFID5334,G3499,BUT769
E7,RFID8361,G0042,BUT122
G2,RFID7009,G7313,BUT546
B2,RFID9184,G7478,BUT454
A8,RFID9985,G2876,BUT390
D9,RFID2426,G4801,BUT944
B9,RFID2673,G3821,BUT007
D3,RFID0664,G7854,BUT958
B8,RFID0520,G6411,BUT723
G7,RFID7468,G4781,BUT705
A9,RFID1687,G7809,BUT863
H4,RFID8525,G6911,BUT165
A7,RFID5914,G6579,BUT508
G5,RFID6615,G8893,BUT790
A8,RFID0695,G5019,BUT724
A7,RFID6500,G2801,BUT778
G4,RFID5935,G5854,BUT226
D4,RFID4035,G3784,BUT943
A3,RFID7929,G2299,BUT680
I6,RFID8356,G0897,BUT839
A1,RFID9789,G3321,BUT925
G4,RFID0924,G3186,BUT025
C1,RFID7695,G6817,BUT527
G6,RFID9317,G7702,BUT987
B9,RFID9715,G5850,BUT104
G6,RFID5071,G7440,BUT840
C8,RFID1404,G3765,BUT060
H2,RFID7353,G4766,BUT858
B4,RFID7410,G1538,BUT172
C1,RFID1614,G6256,BUT143
I9,RFID2995,G0787,BUT444
B3,RFID8475,G3285,BUT699
I1,RFID0038,G6696,BUT787
H4,RFID1936,G8376,BUT211
G9,RFID6869,G0226,BUT248
G6,RFID0139,G1183,BUT232
A8,RFID5249,G1787,BUT966
B5,RFID9200,G3834,BUT598
G2,RFID1722,G8567,BUT021
F4,RFID3927,G5413,BUT221
E3,RFID7987,G8067,BUT488
D2,RFID8266,G8455,BUT800
I6,RFID9871,G8417,BUT740
G8,RFID8639,G9062,BUT263
D7,RFID2032,G7990,BUT654
D6,RFID2523,G5313,BUT224
I7,RFID9370,G3122,BUT368
G5,RFID0521,G7359,BUT160
G7,RFID6245,G0873,BUT418
D4,RFID0474,G8011,BUT378
G5,RFID6009,G6153,BUT006
F4,RFID8046,G0654,BUT489
F2,RFID2424,G9027,BUT320
H7,RFID8379,G3912,BUT910
E5,RFID6685,G4979,BUT484
E1,RFID4796,G4990,BUT091
B6,RFID5064,G0344,BUT156
D9,RFID5832,G9919,BUT523
I1,RFID5726,G9043,BUT653
C4,RFID5072,G5254,BUT885
H8,RFID0891,G7371,BUT583
C9,RFID5107,G4249,BUT107
H9,RFID4287,G4438,BUT577
B6,RFID9853,G9616,BUT199
B8,RFID7078,G7644,BUT709
F9,RFID4637,G2618,BUT855
D4,RFID3235,G6861,BUT547
F2,RFID7794,G7459,BUT074
C8,RFID2055,G9836,BUT155
E2,RFID0468,G4200,BUT799
C5,RFID8656,G6744,BUT638
G9,RFID3747,G0969,BUT128
C2,RFID3029,G6790,BUT427
F8,RFID8136,G6266,BUT935
C5,RFID7657,G0502,BUT755
E4,RFID5559,G6328,BUT082
E7,RFID0467,G3229,BUT641
I4,RFID4245,G0703,BUT782
G9,RFID1054,G1178,BUT651
G7,RFID7910,G8508,BUT288
F6,RFID9397,G7557,BUT893
E8,RFID8460,G6902,BUT412
F7,RFID1074,G2433,BUT034
A9,RFID2772,G7216,BUT075
I2,RFID0127,G4890,BUT883
G4,RFID5451,G0819,BUT606
E4,RFID5716,G4208,BUT078
B1,RFID2270,G1205,BUT330
G1,RFID7676,G7029,BUT566
