g_id,item_category,item_name,item_wcost,item_restock_date,next_restock _date,item_quantity,s_id
G1454,Citron,Absolut,1108,05-10-2020,,52,SID232
G1650,Allspice,Shiraz,1578,30-10-2020,25-11-2020,86,SID088
G1917,Appetizer,Hardys,1693,19-10-2020,,87,SID286
G6800,Appetizer,Bankside,749,04-09-2020,,63,SID005
G5958,Appetizer,Lg,1095,29-10-2020,25-12-2020,81,SID343
G9949,Appetizer,Lentil,1699,05-10-2020,,46,SID261
G5813,Apple,Chocolate,994,28-10-2020,16-11-2020,99,SID937
G5394,Apples," Primerba, Paste",1475,03-10-2020,09-12-2020,4,SID362
G2217,Artichokes,Fresh,332,27-10-2020,24-11-2020,81,SID777
G3499,Asparagus,Fontina,1224,12-09-2020,10-11-2020,34,SID765
G0042,Assorted Desserts,Montery Jack,381,28-10-2020,18-11-2020,13,SID164
G7313,Bagelers,Sweetbread,692,16-10-2020,,93,SID496
G7478,Baking Soda,Tenderlion,1508,19-09-2020,14-11-2020,91,SID320
G2876,Bandage,U,463,28-09-2020,01-11-2020,56,SID804
G4801,Bandage," Flour, 12",189,11-10-2020,,47,SID057
G3821,Bar,Campbells,1078,11-09-2020,26-11-2020,57,SID079
G7854,Bar,Chocolate Individual Wrap,1210,26-09-2020,19-12-2020,30,SID328
G6411,Bar Mix,Jasmin Green,735,03-10-2020,,80,SID981
G4781,Basil,Full Lid,1830,06-09-2020,21-12-2020,17,SID207
G7809,Basil," Bernaise, ",1836,13-10-2020,02-12-2020,74,SID556
G6911,Beans,Champagne,1548,16-10-2020,26-11-2020,44,SID705
G6579,Beans,Mix,78,07-10-2020,,80,SID664
G8893,Beans,Black Tiger 8,213,,,76,SID343
G5019,Beef,Padano,796,,,15,SID033
G2801,Beef,Paste,83,07-10-2020,25-11-2020,33,SID521
G5854,Beef,Cooking Spray,574,,08-11-2020,28,SID055
G3784,Beef,Clear 32 Oz,948,24-10-2020,,33,SID325
G2299,Beef,Fine Porter,1244,02-09-2020,21-11-2020,91,SID512
G0897,Beef,Grana,1586,19-10-2020,19-12-2020,82,SID447
G3321,Beef,Augre Des Champs,1771,13-09-2020,07-11-2020,37,SID417
G3186,Beef,43g,245,07-09-2020,04-11-2020,86,SID611
G6817,Beef,Striploin Aaa,990,08-10-2020,,84,SID561
G7702,Beer,Flexible Neon,522,,07-12-2020,72,SID130
